15:43:54.166 [main] INFO  cz.tul.DemoApplication - Starting DemoApplication on Zenbook with PID 14460 (C:\Users\zdars\Documents\GitHub\pjp-app\target\classes started by zdars in C:\Users\zdars\Documents\GitHub\pjp-app)
15:43:54.171 [main] INFO  cz.tul.DemoApplication - The following profiles are active: prod_mysql
15:44:01.158 [main] INFO  cz.tul.DemoApplication - Started DemoApplication in 7.543 seconds (JVM running for 8.039)
15:44:04.267 [http-nio-8080-exec-1] INFO  cz.tul.DemoApplication - Fetched first picture: 51883ced-6f1f-4639-8010-a14882112f43)
15:44:04.267 [http-nio-8080-exec-1] INFO  cz.tul.DemoApplication - Redirect to picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:04.292 [http-nio-8080-exec-2] INFO  cz.tul.DemoApplication - Fetched first picture: 51883ced-6f1f-4639-8010-a14882112f43)
15:44:04.292 [http-nio-8080-exec-2] INFO  cz.tul.DemoApplication - Redirect to picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:04.359 [http-nio-8080-exec-4] INFO  cz.tul.DemoApplication - Fetched previous picture: 51883ced-6f1f-4639-8010-a14882112f43)
15:44:04.359 [http-nio-8080-exec-4] INFO  cz.tul.DemoApplication - Showing picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:04.359 [http-nio-8080-exec-4] INFO  cz.tul.DemoApplication - next picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:34.640 [http-nio-8080-exec-6] INFO  cz.tul.DemoApplication - Fetched previous picture: 51883ced-6f1f-4639-8010-a14882112f43)
15:44:34.640 [http-nio-8080-exec-6] INFO  cz.tul.DemoApplication - Showing picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:34.640 [http-nio-8080-exec-6] INFO  cz.tul.DemoApplication - next picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:35.440 [http-nio-8080-exec-7] INFO  cz.tul.DemoApplication - Fetched previous picture: 51883ced-6f1f-4639-8010-a14882112f43)
15:44:35.441 [http-nio-8080-exec-7] INFO  cz.tul.DemoApplication - Showing picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:35.441 [http-nio-8080-exec-7] INFO  cz.tul.DemoApplication - next picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.106 [http-nio-8080-exec-8] INFO  cz.tul.DemoApplication - Fetched previous picture: 51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.106 [http-nio-8080-exec-8] INFO  cz.tul.DemoApplication - Showing picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.106 [http-nio-8080-exec-8] INFO  cz.tul.DemoApplication - next picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.594 [http-nio-8080-exec-9] INFO  cz.tul.DemoApplication - Fetched previous picture: 51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.595 [http-nio-8080-exec-9] INFO  cz.tul.DemoApplication - Showing picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.595 [http-nio-8080-exec-9] INFO  cz.tul.DemoApplication - next picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.842 [http-nio-8080-exec-10] INFO  cz.tul.DemoApplication - Fetched previous picture: 51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.842 [http-nio-8080-exec-10] INFO  cz.tul.DemoApplication - Showing picture (51883ced-6f1f-4639-8010-a14882112f43)
15:44:36.842 [http-nio-8080-exec-10] INFO  cz.tul.DemoApplication - next picture (51883ced-6f1f-4639-8010-a14882112f43)
